EmpDepartment,EmpJobRole,EmpEnvironmentSatisfaction,EmpLastSalaryHikePercent,YearsSinceLastPromotion,ExperienceYearsInCurrentRole,EmpWorkLifeBalance,YearsWithCurrManager,ExperienceYearsAtThisCompany,EmpJobLevel,PerformanceRating
Development,Developer,3,21,1,5,4,6,8,3,4
Sales,Sales Executive,2,20,7,7,3,5,8,2,3
Development,Developer,3,14,1,7,3,7,8,1,3
Development,Developer,4,11,0,0,2,0,0,1,3
Sales,Manager,1,14,4,6,2,17,20,4,3
Development,Developer,4,12,2,2,2,3,5,2,3
Development,Developer,1,13,0,3,2,1,4,1,3
Development,Senior Developer,3,11,1,5,2,1,6,1,3
Sales,Sales Executive,2,14,4,14,2,11,18,2,3
Sales,Sales Executive,1,18,0,2,3,4,5,3,3
Sales,Sales Executive,4,12,0,4,3,2,5,3,3
Development,Developer,3,12,1,3,2,3,5,2,3
Sales,Sales Executive,4,19,0,0,3,0,1,2,3
Human Resources,Human Resources,2,13,0,1,3,4,5,1,3
Development,Senior Developer,4,22,2,2,1,2,2,2,3
Development,Developer,1,24,0,2,2,2,3,1,3
Development,Senior Developer,2,14,2,1,3,2,2,1,3
Human Resources,Human Resources,1,21,0,4,3,3,5,1,3
Sales,Sales Executive,3,18,0,3,3,3,5,2,3
Development,Developer,4,19,7,2,2,8,10,1,3
Development,Developer,4,12,0,0,3,2,3,1,3
Data Science,Data Scientist,3,16,0,2,3,2,4,1,3
Development,Senior Developer,1,17,3,2,2,4,5,1,3
Sales,Sales Executive,2,14,5,8,3,3,10,2,3
Sales,Sales Representative,2,19,1,2,3,2,2,1,3
Development,Senior Developer,4,19,0,4,3,2,6,1,3
Sales,Sales Executive,1,14,2,0,3,2,2,4,3
Sales,Sales Representative,3,15,0,4,3,0,5,1,3
Development,Developer,4,18,3,9,3,8,12,4,3
Development,Developer,4,13,2,2,2,2,5,2,3
Sales,Sales Executive,3,22,7,6,3,7,7,2,4
Sales,Sales Executive,1,13,0,0,3,9,10,3,3
Development,Developer,1,11,14,6,3,7,31,4,3
Human Resources,Human Resources,4,11,0,4,3,4,5,2,3
Human Resources,Human Resources,4,11,0,3,4,3,4,1,3
Development,Developer,1,24,0,0,1,1,1,1,3
Development,Developer,2,13,7,7,3,1,8,1,3
Development,Developer,4,14,0,0,2,0,1,1,3
Sales,Sales Representative,3,13,0,2,2,2,2,1,3
Data Science,Data Scientist,4,19,0,0,2,0,1,1,3
Data Science,Data Scientist,3,17,4,8,2,11,16,2,3
Sales,Sales Representative,4,18,1,2,2,2,3,1,3
Development,Developer,2,19,0,2,4,2,3,2,3
Development,Developer,3,18,2,2,3,2,2,1,3
Development,Senior Developer,4,21,2,2,1,2,2,1,3
Development,Developer,2,19,0,1,3,0,1,1,3
Development,Developer,2,14,1,0,3,0,1,1,3
Sales,Sales Executive,3,17,0,4,3,3,5,2,3
Development,Senior Developer,3,11,0,2,3,2,3,1,3
Development,Senior Developer,3,13,0,0,3,4,6,3,3
Sales,Sales Representative,2,15,5,7,4,2,7,1,3
Development,Senior Developer,4,25,0,6,1,7,10,2,3
Data Science,Data Scientist,4,17,0,0,2,0,0,1,3
Sales,Sales Executive,4,13,0,8,2,0,9,2,3
Development,Developer,2,18,0,2,3,1,6,1,3
Development,Senior Developer,4,13,5,12,3,11,15,3,3
Development,Senior Developer,3,20,0,0,3,2,3,1,4
Sales,Sales Representative,3,18,0,0,3,0,1,1,3
Development,Developer,4,13,2,13,3,17,18,1,3
Development,Developer,3,21,3,8,3,9,11,1,4
Sales,Sales Representative,4,13,0,0,4,0,1,1,3
Development,Developer,1,19,0,0,3,0,1,1,3
Development,Developer,4,11,8,7,1,5,9,2,3
Sales,Sales Executive,3,11,3,7,3,7,16,3,3
Sales,Sales Executive,1,11,11,1,1,7,14,3,2
Development,Developer,3,12,0,7,2,8,9,2,3
Sales,Sales Representative,3,15,0,1,3,2,3,1,3
Sales,Sales Executive,3,16,1,2,3,0,5,2,3
Development,Senior Developer,4,15,7,8,2,8,9,4,3
Sales,Manager,3,13,15,13,4,2,17,4,3
Sales,Sales Executive,3,11,7,4,4,7,8,3,3
Sales,Sales Executive,4,13,0,9,3,8,10,3,3
Sales,Sales Executive,1,18,0,7,3,7,8,3,3
Sales,Sales Executive,2,16,0,0,2,0,1,4,3
Development,Senior Developer,3,19,2,10,4,7,19,2,3
Sales,Sales Executive,1,13,0,7,3,7,7,2,3
Development,Developer,3,22,1,2,3,2,3,1,4
Sales,Manager,4,11,6,8,3,0,10,4,3
Development,Developer,4,20,0,0,3,0,0,1,4
Development,Developer,2,18,0,2,3,2,3,1,3
Development,Developer,4,14,0,3,3,2,5,1,3
Development,Senior Developer,4,22,1,4,2,3,5,4,4
Development,Developer,3,13,1,5,3,2,6,2,3
Development,Developer,1,17,0,16,4,11,18,5,3
Development,Developer,4,15,0,8,3,8,9,2,3
Sales,Sales Executive,4,17,0,0,3,7,9,2,3
Development,Developer,1,11,0,2,3,1,5,1,3
Development,Developer,4,18,1,11,3,5,12,4,3
Research & Development,Senior Manager R&D,3,17,0,1,2,2,2,1,3
Research & Development,Laboratory Technician,3,24,0,2,1,2,4,1,3
Research & Development,Manufacturing Director,3,12,0,3,3,3,4,2,3
Research & Development,Research Scientist,2,15,0,0,3,0,0,1,3
Research & Development,Senior Manager R&D,3,11,0,7,3,8,10,3,3
Research & Development,Healthcare Representative,3,11,10,10,2,1,16,3,3
Research & Development,Research Director,2,12,1,7,2,7,8,3,2
Research & Development,Senior Manager R&D,4,12,1,7,3,3,8,2,3
Research & Development,Laboratory Technician,2,15,1,3,2,1,4,1,2
Research & Development,Healthcare Representative,1,13,2,2,3,2,2,2,2
Research & Development,Senior Manager R&D,3,14,4,11,3,8,15,3,3
Research & Development,Manufacturing Director,4,14,2,2,3,1,2,2,3
Research & Development,Manufacturing Director,4,16,11,6,3,8,21,4,3
Research & Development,Senior Manager R&D,1,18,2,2,3,2,3,2,2
Research & Development,Laboratory Technician,2,20,1,2,2,2,3,1,2
Sales,Manager,4,13,0,0,4,0,1,5,4
Research & Development,Laboratory Technician,1,18,0,0,3,0,1,1,3
Research & Development,Manufacturing Director,3,13,4,3,3,3,5,4,3
Research & Development,Healthcare Representative,3,14,6,7,3,7,8,2,3
Research & Development,Research Director,2,22,5,16,3,10,21,5,2
Sales,Sales Executive,2,12,0,0,3,0,1,2,3
Sales,Sales Executive,2,18,2,2,3,2,2,2,2
Sales,Manager,1,15,6,14,3,9,32,5,2
Sales,Sales Executive,4,18,11,11,3,11,12,4,3
Sales,Sales Executive,4,12,0,7,3,13,18,2,3
Research & Development,Manufacturing Director,4,13,2,6,3,8,21,3,3
Sales,Sales Representative,2,19,2,2,2,2,2,1,2
Sales,Manager,4,13,1,3,4,1,9,4,3
Research & Development,Senior Manager R&D,4,12,7,7,3,7,8,1,3
Sales,Sales Executive,2,11,0,1,2,9,15,2,3
Sales,Manager,2,14,0,4,1,4,6,3,3
Human Resources,Human Resources,2,16,0,3,3,4,6,1,3
Research & Development,Laboratory Technician,1,14,0,0,2,0,1,2,3
Research & Development,Research Scientist,1,14,1,2,3,2,3,1,2
Sales,Sales Representative,4,22,0,0,3,0,1,1,4
Research & Development,Senior Manager R&D,3,16,2,2,3,2,2,1,3
Research & Development,Senior Manager R&D,2,11,7,1,2,7,8,5,3
Research & Development,Healthcare Representative,4,15,0,3,2,1,4,2,3
Sales,Sales Executive,3,14,7,7,2,5,7,2,3
Research & Development,Research Scientist,1,13,1,3,3,3,5,1,2
Sales,Sales Executive,3,11,7,4,3,0,9,3,3
Research & Development,Senior Manager R&D,1,19,0,4,3,3,5,1,3
Research & Development,Manufacturing Director,4,11,7,8,2,8,14,3,3
Research & Development,Manager,3,15,6,7,4,2,9,4,4
Sales,Sales Executive,3,13,0,0,3,0,1,3,3
Sales,Sales Representative,4,14,0,2,3,2,2,1,3
Research & Development,Senior Manager R&D,3,13,1,0,2,0,1,1,3
Research & Development,Senior Manager R&D,4,23,1,13,3,7,16,2,4
Research & Development,Senior Manager R&D,2,12,1,7,2,9,10,3,2
Research & Development,Laboratory Technician,1,16,1,3,3,3,5,1,2
Research & Development,Senior Manager R&D,3,15,0,2,2,2,6,2,3
Research & Development,Healthcare Representative,3,18,1,9,2,9,19,3,3
Research & Development,Senior Manager R&D,1,20,11,10,3,1,11,3,2
Research & Development,Senior Manager R&D,1,19,1,2,3,2,3,1,2
Research & Development,Manager R&D,4,18,1,2,3,2,3,3,3
Human Resources,Human Resources,2,14,3,6,3,6,20,3,2
Research & Development,Research Scientist,1,22,3,7,3,8,13,2,2
Research & Development,Healthcare Representative,1,17,0,2,2,4,6,2,3
Research & Development,Manager R&D,4,15,5,7,4,6,7,1,3
Research & Development,Manager R&D,1,20,0,1,2,0,1,1,4
Research & Development,Manager,4,17,13,6,3,7,22,4,3
Research & Development,Manager R&D,1,15,0,0,3,0,1,1,3
Sales,Sales Executive,4,14,0,0,3,0,0,2,3
Sales,Sales Executive,4,17,0,2,3,2,3,2,3
Research & Development,Research Scientist,3,17,0,0,3,0,0,1,3
Research & Development,Manager R&D,1,22,2,4,2,1,5,4,2
Sales,Sales Executive,2,13,4,10,3,12,15,2,2
Research & Development,Healthcare Representative,2,19,4,6,3,0,8,3,2
Sales,Sales Executive,3,14,2,7,3,7,8,3,3
Research & Development,Manager R&D,3,22,1,5,3,7,7,1,4
Research & Development,Manufacturing Director,4,17,1,7,2,7,9,3,3
Sales,Manager,1,12,4,9,3,9,12,4,2
Sales,Sales Executive,4,16,0,0,3,0,1,3,3
Research & Development,Healthcare Representative,1,11,11,7,3,5,18,4,2
Research & Development,Manager R&D,3,14,4,7,4,9,20,5,3
Research & Development,Laboratory Technician,3,15,0,4,2,3,5,2,3
Research & Development,Manufacturing Director,1,20,0,9,3,9,11,2,3
Sales,Sales Representative,3,12,2,2,3,2,2,1,3
Research & Development,Manager R&D,1,17,0,3,1,4,5,1,3
Sales,Sales Executive,4,11,0,2,3,2,5,2,3
Sales,Sales Executive,4,17,2,8,3,3,9,4,3
Research & Development,Manager R&D,4,11,0,2,2,2,3,2,3
Research & Development,Research Scientist,4,14,1,5,2,1,7,1,3
Research & Development,Laboratory Technician,2,19,0,0,3,0,1,2,3
Research & Development,Manufacturing Director,2,15,1,7,2,2,10,2,2
Research & Development,Research Scientist,3,14,0,1,3,2,3,1,3
Research & Development,Laboratory Technician,3,12,0,0,3,0,0,1,3
Sales,Sales Executive,1,17,0,2,3,3,5,2,3
Research & Development,Laboratory Technician,2,11,0,0,3,0,1,1,3
Research & Development,Laboratory Technician,3,12,2,2,2,2,2,1,3
Research & Development,Healthcare Representative,3,13,1,2,3,3,6,2,3
Research & Development,Research Scientist,4,13,2,2,3,2,4,1,3
Sales,Sales Executive,2,20,1,5,2,3,6,2,2
Human Resources,Human Resources,3,17,1,4,1,4,5,1,2
Sales,Sales Executive,4,13,3,8,1,10,11,3,2
Research & Development,Research Director,2,17,2,7,2,13,18,3,2
Sales,Sales Executive,3,12,13,9,2,14,21,4,3
Sales,Sales Executive,2,13,1,4,4,5,6,2,4
Research & Development,Laboratory Technician,4,22,1,3,3,2,4,1,4
Research & Development,Manager R&D,3,11,0,1,2,0,1,1,3
Research & Development,Manager R&D,1,22,0,7,3,7,8,1,3
Sales,Sales Executive,3,18,1,3,3,4,10,2,3
Research & Development,Research Scientist,3,13,0,1,1,0,1,2,3
Research & Development,Manufacturing Director,3,18,6,7,4,4,7,3,3
Research & Development,Healthcare Representative,4,20,4,9,3,9,13,2,4
Research & Development,Laboratory Technician,4,13,2,2,4,2,2,1,3
Sales,Sales Executive,1,13,1,3,2,3,4,2,2
Sales,Sales Representative,3,12,0,0,3,0,1,1,3
Research & Development,Manager,4,13,4,2,3,2,5,5,3
Research & Development,Manager R&D,2,13,0,8,3,8,10,1,3
Research & Development,Research Scientist,3,25,0,1,3,0,1,1,4
Research & Development,Manager R&D,1,19,0,2,2,2,3,1,3
Research & Development,Manufacturing Director,4,13,3,8,2,11,14,2,3
Research & Development,Manager R&D,3,11,0,4,3,2,6,1,3
Research & Development,Manager R&D,4,18,4,7,3,7,7,5,3
Research & Development,Manager R&D,3,11,0,0,3,0,0,1,3
Sales,Manager,3,23,15,15,3,9,26,4,4
Research & Development,Research Scientist,4,13,0,0,3,0,0,1,3
Human Resources,Human Resources,2,13,1,4,3,4,5,1,2
Sales,Sales Executive,3,19,0,3,3,3,4,2,3
Sales,Sales Executive,2,12,0,0,3,0,0,2,3
Research & Development,Manager R&D,4,22,2,2,3,2,2,4,4
Research & Development,Manager R&D,4,11,0,2,3,3,4,5,3
Sales,Sales Executive,3,15,1,7,3,7,7,2,3
Research & Development,Laboratory Technician,4,13,0,0,1,0,1,1,3
Sales,Sales Executive,2,12,0,7,2,1,10,2,3
Research & Development,Laboratory Technician,3,14,1,7,3,7,7,1,3
Research & Development,Research Scientist,4,25,13,11,3,17,20,2,4
Human Resources,Human Resources,4,16,0,3,4,3,4,2,4
Research & Development,Laboratory Technician,3,20,2,2,3,2,2,1,4
Research & Development,Manager R&D,4,14,0,7,3,7,8,2,3
Research & Development,Manufacturing Director,3,21,7,7,3,7,7,3,4
Research & Development,Research Scientist,1,13,4,10,3,10,14,1,2
Sales,Sales Executive,3,14,1,3,3,1,4,2,3
Research & Development,Research Director,1,17,0,0,3,0,1,3,3
Research & Development,Manager R&D,1,14,6,7,2,8,9,1,2
Research & Development,Manufacturing Director,4,17,1,4,1,4,5,3,3
Research & Development,Manager R&D,1,13,7,5,3,7,10,1,2
Research & Development,Research Scientist,1,25,0,1,4,0,1,1,4
Research & Development,Research Director,4,14,0,9,3,9,10,4,3
Research & Development,Manager R&D,3,12,0,5,2,1,6,2,3
Research & Development,Research Director,3,14,0,7,3,7,8,5,3
Research & Development,Manager R&D,1,13,0,0,4,0,1,5,3
Research & Development,Research Scientist,3,12,0,10,2,7,11,1,3
Research & Development,Laboratory Technician,4,11,0,0,2,0,1,1,3
Research & Development,Manager R&D,3,11,1,0,3,0,6,2,3
Research & Development,Research Director,4,12,0,0,4,0,1,5,4
Research & Development,Research Director,4,14,1,7,2,7,7,4,3
Sales,Manager,2,11,3,9,3,10,22,5,2
Research & Development,Research Scientist,4,22,0,0,3,1,1,1,4
Research & Development,Research Scientist,3,20,2,5,2,2,8,1,4
Sales,Manager,1,16,1,10,3,11,24,5,2
Research & Development,Healthcare Representative,4,15,15,9,3,0,33,4,3
Research & Development,Laboratory Technician,1,20,2,2,1,2,2,1,2
Sales,Manager,4,14,0,4,3,8,11,5,3
Sales,Sales Executive,3,12,0,2,3,2,3,2,3
Sales,Manager,4,24,11,10,2,10,29,5,4
Research & Development,Manager R&D,4,12,5,7,2,4,9,3,3
Research & Development,Laboratory Technician,3,13,5,8,4,10,11,2,3
Research & Development,Laboratory Technician,4,11,0,2,2,2,4,1,3
Research & Development,Manager R&D,3,14,14,9,2,13,25,5,3
Human Resources,Human Resources,3,11,1,9,4,8,10,2,3
Research & Development,Research Scientist,3,14,2,2,3,2,3,1,3
Research & Development,Research Scientist,2,16,0,0,3,0,1,2,3
Sales,Sales Executive,4,14,15,7,4,17,21,3,3
Research & Development,Manufacturing Director,3,11,5,14,3,12,16,2,3
Research & Development,Laboratory Technician,4,12,2,2,3,2,2,1,3
Research & Development,Laboratory Technician,2,14,7,0,2,7,7,1,3
Research & Development,Manufacturing Director,3,18,1,4,3,7,8,2,3
Research & Development,Laboratory Technician,2,13,7,7,3,7,7,1,2
Research & Development,Research Scientist,4,11,1,2,2,2,3,1,3
Research & Development,Research Scientist,4,18,2,2,2,1,2,1,3
Sales,Sales Executive,3,15,0,7,4,8,10,2,3
Research & Development,Manager,2,22,0,0,3,0,0,5,4
Research & Development,Manager,3,13,15,9,3,2,19,4,3
Research & Development,Research Scientist,1,12,2,2,3,2,2,1,2
Research & Development,Manager R&D,4,18,1,4,3,1,10,2,3
Research & Development,Healthcare Representative,4,12,1,7,3,7,7,3,3
Human Resources,Human Resources,4,12,5,6,4,7,7,1,3
Research & Development,Manager R&D,3,11,7,8,3,5,9,2,3
Research & Development,Manager R&D,4,11,1,2,3,2,3,4,3
Sales,Sales Executive,4,12,1,4,3,0,5,3,3
Sales,Sales Executive,2,19,7,7,2,7,8,3,2
Sales,Sales Executive,4,19,9,8,2,6,10,3,3
Sales,Sales Executive,3,13,11,2,3,9,19,2,3
Research & Development,Manager,4,14,9,9,3,11,19,5,3
Human Resources,Manager,4,14,7,3,3,7,7,5,3
Research & Development,Research Scientist,3,16,0,2,3,0,4,1,3
Research & Development,Healthcare Representative,4,11,1,7,2,6,9,3,3
Sales,Sales Executive,3,17,1,3,3,7,9,2,3
Research & Development,Research Scientist,3,11,1,6,3,1,9,2,3
Human Resources,Manager,3,11,0,9,3,10,33,4,3
Sales,Sales Executive,2,15,1,7,3,7,7,2,2
Sales,Sales Executive,3,12,9,8,4,6,10,2,3
Research & Development,Laboratory Technician,4,11,1,2,2,2,3,1,3
Research & Development,Manufacturing Director,3,14,5,9,2,9,10,3,3
Research & Development,Laboratory Technician,2,22,0,2,3,3,4,1,3
Sales,Sales Executive,1,16,6,7,2,13,15,2,2
Research & Development,Manufacturing Director,4,11,0,9,3,8,10,3,3
Sales,Sales Representative,3,14,0,0,3,0,1,1,3
Research & Development,Manager R&D,4,16,0,2,2,3,5,4,3
Research & Development,Manager R&D,4,15,0,0,4,0,0,1,4
Research & Development,Laboratory Technician,4,12,0,7,3,0,9,2,3
Sales,Sales Executive,4,20,0,2,3,0,6,2,4
Sales,Sales Executive,1,17,3,7,2,8,19,4,2
Research & Development,Manager R&D,4,12,15,16,3,9,19,4,3
Research & Development,Research Scientist,1,20,0,4,3,0,5,1,3
Research & Development,Manager R&D,2,20,11,11,3,8,12,2,2
Research & Development,Laboratory Technician,2,13,7,7,3,7,8,2,2
Sales,Sales Representative,3,14,0,0,4,0,1,1,3
Research & Development,Research Scientist,4,11,0,2,3,3,4,1,3
Research & Development,Healthcare Representative,3,11,4,11,4,11,14,2,3
Sales,Sales Executive,3,11,0,3,3,4,5,2,3
Sales,Sales Executive,1,12,1,4,4,4,5,2,2
Sales,Sales Executive,2,11,3,2,3,2,4,3,2
Research & Development,Manager R&D,4,14,3,2,2,3,6,2,3
Sales,Sales Executive,2,13,1,4,4,2,5,2,2
Sales,Sales Executive,3,13,1,2,2,2,3,2,3
Research & Development,Manager R&D,3,21,0,4,3,5,6,3,4
Sales,Sales Executive,1,11,1,2,2,2,3,2,2
Research & Development,Manufacturing Director,4,11,0,3,2,2,5,4,3
Research & Development,Research Scientist,1,14,1,7,1,8,20,2,2
Sales,Sales Executive,4,11,4,2,3,4,6,2,3
Research & Development,Research Scientist,4,13,7,2,3,7,8,1,3
Research & Development,Research Scientist,1,12,1,3,3,1,4,1,3
Human Resources,Manager,3,14,0,7,3,9,20,4,3
Research & Development,Manager R&D,1,18,0,2,3,2,3,1,3
Research & Development,Manufacturing Director,3,11,2,2,3,2,2,3,3
Research & Development,Laboratory Technician,1,11,0,2,2,2,3,1,3
Human Resources,Human Resources,2,13,0,9,2,9,10,3,3
Research & Development,Manager R&D,1,20,1,3,3,3,4,2,3
Research & Development,Research Director,4,19,12,7,2,7,20,4,3
Research & Development,Manager R&D,4,21,1,8,3,5,9,5,4
Sales,Sales Executive,1,16,0,4,3,1,5,2,3
Sales,Sales Representative,2,12,0,0,3,0,1,1,3
Sales,Sales Executive,4,14,0,2,3,2,3,2,3
Research & Development,Research Director,1,11,1,2,4,0,3,4,3
Research & Development,Research Scientist,4,14,1,3,3,3,4,1,3
Research & Development,Research Scientist,1,12,0,0,4,0,1,1,3
Research & Development,Manager R&D,2,14,1,0,4,4,5,1,3
Research & Development,Laboratory Technician,1,16,1,4,2,8,10,2,2
Research & Development,Research Scientist,1,12,1,5,2,2,6,1,2
Sales,Sales Representative,1,12,2,2,3,2,3,1,2
Research & Development,Manager R&D,3,14,1,5,1,3,6,1,3
Research & Development,Manager R&D,1,22,1,2,4,0,3,1,4
Sales,Sales Executive,4,12,0,4,3,3,5,2,3
Research & Development,Laboratory Technician,4,17,0,4,2,2,5,1,3
Research & Development,Manager R&D,2,12,0,2,2,3,4,1,3
Research & Development,Laboratory Technician,3,11,0,7,4,7,8,2,3
Sales,Sales Executive,1,18,9,7,3,9,13,3,2
Research & Development,Laboratory Technician,1,23,0,0,4,0,1,1,4
Research & Development,Manager R&D,3,11,4,8,3,7,10,3,3
Research & Development,Manager R&D,2,18,0,7,3,7,7,3,3
Human Resources,Human Resources,4,18,0,2,3,2,3,1,3
Research & Development,Manager R&D,2,18,1,1,4,2,3,3,3
Human Resources,Human Resources,1,15,2,2,3,2,2,1,2
Research & Development,Research Director,4,11,4,8,3,8,9,3,3
Research & Development,Laboratory Technician,3,14,0,2,3,3,5,1,3
Research & Development,Manager R&D,1,14,1,2,2,2,3,2,2
Research & Development,Research Scientist,3,14,1,1,4,2,3,1,4
Research & Development,Manager R&D,4,13,1,2,2,3,5,1,3
Sales,Sales Executive,4,14,0,3,3,3,4,2,3
Sales,Sales Executive,4,18,3,9,3,12,13,2,3
Sales,Sales Executive,4,15,2,1,2,2,2,2,3
Research & Development,Laboratory Technician,1,13,5,9,3,8,12,1,2
Sales,Sales Executive,1,12,0,0,2,0,1,2,3
Research & Development,Research Scientist,3,13,0,0,2,0,1,1,3
Research & Development,Research Scientist,2,24,2,9,2,8,12,2,2
Research & Development,Manager R&D,3,14,0,7,3,7,8,3,3
Research & Development,Research Director,2,14,6,8,2,9,14,4,2
Sales,Sales Representative,1,15,1,2,4,2,3,1,2
Sales,Sales Executive,1,23,10,9,4,10,15,2,2
Sales,Sales Representative,4,13,0,0,3,0,1,1,3
Sales,Sales Representative,4,13,0,0,3,0,1,1,3
Research & Development,Manager R&D,2,18,2,2,2,2,2,3,2
Sales,Sales Executive,3,14,0,7,3,4,10,2,3
Research & Development,Manager R&D,4,16,1,2,3,2,3,2,3
Research & Development,Manager R&D,1,11,0,4,3,2,5,1,3
Sales,Sales Executive,3,17,1,4,2,2,5,2,3
Research & Development,Laboratory Technician,3,11,0,0,2,0,0,1,3
Research & Development,Manager R&D,1,14,0,0,1,0,1,1,3
Sales,Sales Executive,3,14,1,2,3,3,4,2,3
Research & Development,Laboratory Technician,3,25,1,2,3,2,3,2,4
Research & Development,Laboratory Technician,4,13,0,2,3,2,3,1,3
Research & Development,Manager R&D,3,14,1,6,2,7,8,2,3
Research & Development,Healthcare Representative,4,17,0,0,3,0,0,2,3
Research & Development,Manager,3,25,0,2,4,0,5,3,3
Research & Development,Manager R&D,2,20,1,9,3,12,14,4,2
Research & Development,Research Scientist,1,13,0,7,1,7,9,1,3
Sales,Manager,3,12,5,12,4,1,13,4,3
Research & Development,Manager R&D,4,19,3,8,1,3,11,3,3
Research & Development,Laboratory Technician,1,14,1,3,3,2,4,2,2
Research & Development,Laboratory Technician,4,14,1,4,1,0,5,1,3
Sales,Sales Executive,4,14,8,9,3,6,10,3,3
Research & Development,Research Director,3,13,13,6,3,9,32,4,3
Research & Development,Manager R&D,3,14,0,0,3,0,1,1,3
Research & Development,Research Scientist,1,17,3,8,3,7,10,2,2
Research & Development,Healthcare Representative,3,13,0,7,3,7,7,2,3
Research & Development,Manufacturing Director,4,13,0,3,3,2,5,2,3
Research & Development,Research Scientist,4,20,0,4,3,3,5,1,4
Research & Development,Healthcare Representative,4,14,13,8,1,9,20,3,3
Sales,Sales Executive,1,12,7,4,4,1,8,2,2
Research & Development,Laboratory Technician,2,12,5,14,3,7,15,2,2
Human Resources,Manager,3,21,7,7,3,7,21,4,4
Research & Development,Laboratory Technician,3,14,0,1,3,0,1,1,3
Research & Development,Manager R&D,4,18,2,2,3,2,2,2,3
Research & Development,Healthcare Representative,1,12,7,8,3,7,10,3,2
Sales,Sales Representative,2,23,4,3,3,2,5,1,2
Sales,Sales Representative,3,21,1,2,2,2,3,1,4
